,date,Negative,Neutral,Positive
0,2018-01-02,0.98282397,0.0027468717,0.01442918
1,2018-01-03,0.17424023,0.0039345156,0.82182527
2,2018-01-05,0.9554789,0.0036679558,0.040853146
3,2018-01-06,0.98594266,0.0029047953,0.0111525
4,2018-01-08,0.50252044,0.17285302,0.3246265
5,2018-01-10,0.9721366,0.0032427139,0.024620682
6,2018-01-11,0.9847733,0.002771595,0.0124551235
7,2018-01-15,0.36719325,0.0029476623,0.62985903
8,2018-01-18,0.9850515,0.002716004,0.012232483
9,2018-01-21,0.9690498,0.0030675146,0.02788262
10,2018-01-22,0.48081878,0.005998698,0.5131825
11,2018-01-24,0.42027617,0.0031719804,0.57655185
12,2018-01-25,0.7064702,0.0048921853,0.2886376
13,2018-01-26,0.7864516,0.004003576,0.20954487
14,2018-01-29,0.5143336,0.0028955368,0.48277086
15,2018-01-30,0.50315905,0.004395021,0.49244595
16,2018-01-31,0.9712962,0.0035528494,0.02515103
17,2018-02-01,0.9195682,0.0035986505,0.07683315
18,2018-02-02,0.6591508,0.0030167361,0.33783245
19,2018-02-07,0.9817002,0.0030498174,0.015249971
20,2018-02-08,0.7829357,0.0039045746,0.21315974
21,2018-02-10,0.94432,0.013553762,0.04212623
22,2018-02-11,0.53004956,0.0033577352,0.4665927
23,2018-02-13,0.96648604,0.0027964984,0.03071747
24,2018-02-14,0.97651935,0.0028654851,0.02061515
25,2018-02-15,0.918725,0.0039994135,0.07727567
26,2018-02-22,0.9648519,0.0027726188,0.0323754
27,2018-03-01,0.70626384,0.0047986084,0.28893754
28,2018-03-04,0.30030575,0.0050113373,0.6946829
29,2018-03-05,0.8395661,0.0038703396,0.15656361
30,2018-03-07,0.96966684,0.0069136955,0.023419466
31,2018-03-08,0.8614087,0.0046787383,0.13391256
32,2018-03-09,0.94226044,0.035064805,0.022674771
33,2018-03-10,0.49723446,0.0046241307,0.49814138
34,2018-03-12,0.18115482,0.16641675,0.6524284
35,2018-03-13,0.9808239,0.0039786925,0.015197419
36,2018-03-14,0.55504346,0.0051282826,0.43982822
37,2018-03-15,0.97000664,0.00302351,0.026969861
38,2018-03-16,0.028077776,0.0026314992,0.9692907
39,2018-03-19,0.9781305,0.0028769025,0.018992528
40,2018-03-20,0.5975446,0.003537185,0.3989182
41,2018-03-21,0.9631013,0.0032051792,0.03369351
42,2018-03-25,0.5909697,0.0036001154,0.40543017
43,2018-03-26,0.9173636,0.0036760161,0.07896038
44,2018-03-28,0.97834593,0.0031034162,0.018550575
45,2018-03-29,0.53370005,0.0052250656,0.4610749
46,2018-04-01,0.9289147,0.0040654214,0.06701986
47,2018-04-07,0.02883937,0.49683574,0.47432488
48,2018-04-09,0.9244176,0.0030716779,0.07251067
49,2018-04-10,0.97563195,0.0042945556,0.02007353
50,2018-04-12,0.48681659,0.0056203897,0.507563
51,2018-04-16,0.5262233,0.0032294765,0.47054717
52,2018-04-23,0.98025185,0.003816078,0.015932178
53,2018-04-24,0.985083,0.00335874,0.01155829
54,2018-04-25,0.5839423,0.0035033533,0.41255432
55,2018-04-30,0.96017486,0.0064043445,0.033420816
56,2018-05-02,0.9658171,0.0030629418,0.031119984
57,2018-05-03,0.9357161,0.004198064,0.060085863
58,2018-05-04,0.87205076,0.004146586,0.12380259
59,2018-05-07,0.01447585,0.4935008,0.4920234
60,2018-05-09,0.007958193,0.9777658,0.014276017
61,2018-05-10,0.058686264,0.0034536766,0.9378601
62,2018-05-11,0.98011595,0.005373249,0.0145108
63,2018-05-12,0.9725315,0.0032511954,0.024217322
64,2018-05-15,0.51691353,0.0030210675,0.4800654
65,2018-05-17,0.9306746,0.0039790473,0.06534632
66,2018-05-21,0.6828898,0.004297535,0.31281263
67,2018-05-23,0.94317794,0.0034470144,0.053375047
68,2018-05-29,0.9791219,0.0028924635,0.017985601
69,2018-06-02,0.9317261,0.0056168092,0.0626571
70,2018-06-03,0.97514516,0.0028811533,0.021973735
71,2018-06-07,0.52102125,0.0044466443,0.47453204
72,2018-06-08,0.9830377,0.0036037434,0.0133585455
73,2018-06-09,0.9135919,0.0037222193,0.082685925
74,2018-06-11,0.9854011,0.0028497213,0.011749174
75,2018-06-12,0.8813982,0.004818251,0.11378354
76,2018-06-13,0.9349561,0.0034575332,0.061586402
77,2018-06-14,0.95635164,0.0037561432,0.039892226
78,2018-06-18,0.9644584,0.003684214,0.031857375
79,2018-06-21,0.8532828,0.003894207,0.14282304
80,2018-06-22,0.019223962,0.49115133,0.48962477
81,2018-06-25,0.5038431,0.003198468,0.4929584
82,2018-06-26,0.54764163,0.0043733777,0.44798502
83,2018-06-27,0.97316563,0.00609988,0.020734448
84,2018-06-28,0.7376705,0.0031195632,0.25920993
85,2018-06-29,0.94727874,0.00295824,0.049763054
86,2018-07-08,0.7293129,0.0104276035,0.26025945
87,2018-07-09,0.25394276,0.008719494,0.73733777
88,2018-07-11,0.93819004,0.014612347,0.047197614
89,2018-07-12,0.4864859,0.3657495,0.14776464
90,2018-07-13,0.9709015,0.0030455855,0.026052829
91,2018-07-16,0.67930794,0.008517362,0.31217474
92,2018-07-17,0.5066229,0.0043743835,0.48900267
93,2018-07-18,0.98230773,0.0031806864,0.014511604
94,2018-07-19,0.95794535,0.0032694384,0.038785145
95,2018-07-20,0.4828853,0.0032370505,0.5138777
96,2018-07-23,0.8317578,0.006728594,0.16151363
97,2018-07-24,0.49703655,0.49515337,0.0078101284
98,2018-07-25,0.49103162,0.4968124,0.0121559715
99,2018-07-26,0.39818987,0.0033395155,0.59847057
100,2018-07-27,0.49727458,0.0028229547,0.49990246
101,2018-07-30,0.4810473,0.46262336,0.056329295
102,2018-07-31,0.5140765,0.00521622,0.4807073
103,2018-08-02,0.24957362,0.006623981,0.7438024
104,2018-08-04,0.98310953,0.0038428837,0.013047618
105,2018-08-05,0.7318273,0.0051418957,0.26303077
106,2018-08-08,0.6341517,0.0037629134,0.36208534
107,2018-08-10,0.69613934,0.005087747,0.29877296
108,2018-08-11,0.48275724,0.47284198,0.04440076
109,2018-08-13,0.98163694,0.0031342856,0.015228781
110,2018-08-14,0.8883081,0.004608227,0.10708365
111,2018-08-15,0.48900375,0.49669847,0.014297823
112,2018-08-16,0.6317431,0.0036127965,0.3646441
113,2018-08-17,0.31173962,0.4732625,0.21499796
114,2018-08-20,0.9420912,0.00313969,0.05476907
115,2018-08-21,0.5183128,0.003706667,0.47798055
116,2018-08-22,0.535757,0.0036474986,0.46059552
117,2018-08-23,0.38790283,0.49374545,0.11835179
118,2018-08-24,0.49523064,0.0029237163,0.50184566
119,2018-08-27,0.9844765,0.0028873645,0.012636093
120,2018-08-28,0.48926073,0.005029042,0.50571024
121,2018-08-29,0.22430882,0.40393633,0.37175483
122,2018-08-30,0.9393023,0.004226758,0.0564709
123,2018-08-31,0.97963536,0.0041624275,0.016202137
124,2018-09-07,0.8633971,0.006118196,0.13048469
125,2018-09-08,0.49861878,0.0033093602,0.49807182
126,2018-09-10,0.4339653,0.0052173575,0.5608173
127,2018-09-11,0.97934955,0.0030161727,0.017634312
128,2018-09-13,0.42016733,0.49744895,0.082383685
129,2018-09-14,0.48689008,0.00361275,0.5094971
130,2018-09-17,0.9749328,0.005603188,0.019463997
131,2018-09-18,0.94449925,0.010519802,0.04498097
132,2018-09-19,0.87769973,0.0035826731,0.11871764
133,2018-09-20,0.561524,0.0036211892,0.4348549
134,2018-09-21,0.4663093,0.13904847,0.39464217
135,2018-09-24,0.51933163,0.0063709724,0.47429746
136,2018-09-25,0.5609433,0.004467957,0.43458873
137,2018-09-26,0.36234656,0.005177483,0.632476
138,2018-09-27,0.97985667,0.002901617,0.017241716
139,2018-09-28,0.4456591,0.026958175,0.5273827
140,2018-10-04,0.94299775,0.0032680817,0.053734105
141,2018-10-05,0.98440516,0.0029640046,0.012630871
142,2018-10-07,0.98410404,0.0032325408,0.012663364
143,2018-10-08,0.44113198,0.49193814,0.06692989
144,2018-10-09,0.97899187,0.0026704865,0.018337648
145,2018-10-10,0.49619177,0.0029472027,0.50086105
146,2018-10-12,0.6955268,0.003903402,0.3005698
147,2018-10-15,0.7263645,0.0047646267,0.26887092
148,2018-10-16,0.98124844,0.0029597725,0.015791815
149,2018-10-17,0.062006023,0.0041689007,0.933825
150,2018-10-18,0.9854641,0.0027918585,0.011744101
151,2018-10-19,0.98282254,0.0027995547,0.014377916
152,2018-10-22,0.0863298,0.0034809387,0.9101893
153,2018-10-23,0.9224222,0.0107498905,0.06682797
154,2018-10-24,0.881469,0.005501515,0.1130295
155,2018-10-25,0.9350622,0.034115884,0.030821826
156,2018-10-26,0.9564326,0.0071278485,0.036439568
157,2018-10-29,0.97079825,0.003132218,0.02606954
158,2018-10-30,0.9808105,0.0028317282,0.016357783
159,2018-10-31,0.6468073,0.099288255,0.25390437
160,2018-11-01,0.98036206,0.0029817799,0.016656144
161,2018-11-03,0.9608276,0.0031264003,0.036046028
162,2018-11-06,0.97711986,0.0029966934,0.019883446
163,2018-11-07,0.925042,0.0045768507,0.07038116
164,2018-11-09,0.50100267,0.0025601801,0.49643713
165,2018-11-10,0.97230804,0.0057519777,0.021939922
166,2018-11-12,0.96492213,0.0031883274,0.03188957
167,2018-11-13,0.62148297,0.0036790455,0.37483793
168,2018-11-14,0.9485966,0.004490482,0.046912868
169,2018-11-15,0.50380903,0.47821417,0.01797677
170,2018-11-16,0.9688263,0.0028546783,0.028319024
171,2018-11-19,0.49546075,0.0025250213,0.5020142
172,2018-11-20,0.9277849,0.0030768905,0.06913823
173,2018-11-21,0.50585926,0.0044812784,0.48965952
174,2018-11-22,0.4078382,0.0031954313,0.5889664
175,2018-11-23,0.48850214,0.017588869,0.49390894
176,2018-11-26,0.78129077,0.0041267187,0.21458255
177,2018-11-27,0.8799199,0.0039864904,0.11609356
178,2018-11-28,0.46762484,0.4513138,0.08106134
179,2018-11-29,0.9649805,0.0039140005,0.031105496
180,2018-11-30,0.59565604,0.28245783,0.121886134
